timestamp,turbidity_in,turbidity_out,status,phase
129527,1218.89,1260.13,alert,emergency
129773,1205.04,1246.44,alert,emergency
130020,1205.04,1246.44,alert,emergency
130266,1205.04,1260.13,alert,emergency
130512,1218.89,1260.13,alert,emergency
130758,1218.89,1260.13,alert,emergency
131005,1205.04,1246.44,alert,emergency
131251,1205.04,1246.44,alert,emergency
131496,1218.89,1260.13,alert,emergency
131743,1218.89,1260.13,alert,emergency
131989,1205.04,1260.13,alert,emergency
132236,1205.04,1246.44,alert,emergency
132482,1205.04,1260.13,alert,emergency
132728,1218.89,1260.13,alert,emergency
132974,1218.89,1260.13,alert,emergency
133220,1205.04,1246.44,alert,emergency
133467,1205.04,1246.44,alert,emergency
133712,1218.89,1260.13,alert,emergency
133959,1218.89,1260.13,alert,emergency
134205,1205.04,1246.44,alert,emergency
134452,1205.04,1246.44,alert,emergency
134697,1205.04,1260.13,alert,emergency
134943,1205.04,1260.13,alert,emergency
135190,1205.04,1260.13,alert,emergency
135436,1205.04,1246.44,alert,emergency
135683,1191.13,1246.44,alert,emergency
135928,1218.89,1260.13,alert,emergency
136175,1218.89,1260.13,alert,emergency
136421,1191.13,1246.44,alert,emergency
136667,1191.13,1246.44,alert,emergency
136913,1205.04,1260.13,alert,emergency
137159,1218.89,1260.13,alert,emergency
137406,1205.04,1246.44,alert,emergency
137652,1205.04,1246.44,alert,emergency
137899,1205.04,1246.44,alert,emergency
138144,1205.04,1260.13,alert,emergency
138390,1218.89,1260.13,alert,emergency
138637,1205.04,1246.44,alert,emergency
138883,1191.13,1246.44,alert,emergency
139129,1205.04,1260.13,alert,emergency
139375,1218.89,1260.13,alert,emergency
139622,1205.04,1246.44,alert,emergency
139868,1205.04,1246.44,alert,emergency
140113,1205.04,1260.13,alert,emergency
140360,1205.04,1260.13,alert,emergency
140606,1218.89,1260.13,alert,emergency
140853,1205.04,1246.44,alert,emergency
141099,1191.13,1246.44,alert,emergency
141345,1205.04,1260.13,alert,emergency
141591,1218.89,1260.13,alert,emergency
141837,1205.04,1246.44,alert,emergency
142084,1191.13,1246.44,alert,emergency
142329,1205.04,1260.13,alert,emergency
142576,1218.89,1260.13,alert,emergency
142822,1205.04,1260.13,alert,emergency
143069,1205.04,1246.44,alert,emergency
143314,1205.04,1246.44,alert,emergency
143560,1205.04,1260.13,alert,emergency
143807,1218.89,1260.13,alert,emergency
144053,1205.04,1246.44,alert,emergency
144300,1191.13,1246.44,alert,emergency
144545,1205.04,1260.13,alert,emergency
144792,1218.89,1260.13,alert,emergency
145038,1205.04,1246.44,alert,emergency
145284,1205.04,1246.44,alert,emergency
145530,1205.04,1246.44,alert,emergency
145776,1205.04,1260.13,alert,emergency
146023,1218.89,1260.13,alert,emergency
146269,1205.04,1246.44,alert,emergency
146515,1191.13,1246.44,alert,emergency
146761,1205.04,1260.13,alert,emergency
147007,1218.89,1260.13,alert,emergency
147254,1205.04,1246.44,alert,emergency
147500,1191.13,1246.44,alert,emergency
147746,1205.04,1246.44,alert,emergency
147992,1205.04,1260.13,alert,emergency
148239,1205.04,1260.13,alert,emergency
148485,1205.04,1246.44,alert,emergency
148730,1191.13,1246.44,alert,emergency
148977,1205.04,1260.13,alert,emergency
149223,1218.89,1260.13,alert,emergency
149470,1205.04,1246.44,alert,emergency
149715,1191.13,1246.44,alert,emergency
149962,1205.04,1246.44,alert,emergency
150208,1205.04,1260.13,alert,emergency
150454,1205.04,1260.13,alert,emergency
150701,1205.04,1246.44,alert,emergency
150946,1205.04,1246.44,alert,emergency
151193,1205.04,1260.13,alert,emergency
151439,1205.04,1260.13,alert,emergency
151686,1205.04,1246.44,alert,emergency
151931,1191.13,1246.44,alert,emergency
152177,1205.04,1246.44,alert,emergency
152424,1218.89,1260.13,alert,emergency
152670,1218.89,1260.13,alert,emergency
152916,1191.13,1246.44,alert,emergency
153162,1205.04,1246.44,alert,emergency
153409,1205.04,1260.13,alert,emergency
153655,1205.04,1260.13,alert,emergency
153901,1205.04,1246.44,alert,emergency
154147,1205.04,1246.44,alert,emergency
154393,1205.04,1246.44,alert,emergency
154640,1218.89,1260.13,alert,emergency
154886,1218.89,1260.13,alert,emergency
155132,1205.04,1246.44,alert,emergency
155378,1205.04,1246.44,alert,emergency
155624,1218.89,1260.13,alert,emergency
155871,1218.89,1260.13,alert,emergency
156116,1205.04,1246.44,alert,emergency
156363,1205.04,1246.44,alert,emergency
156609,1205.04,1260.13,alert,emergency
156856,1205.04,1260.13,alert,emergency
157102,1205.04,1260.13,alert,emergency
157347,1205.04,1246.44,alert,emergency
157594,1191.13,1246.44,alert,emergency
157840,1205.04,1260.13,alert,emergency
158087,1218.89,1260.13,alert,emergency
158332,1191.13,1246.44,alert,emergency
158579,1191.13,1246.44,alert,emergency
158825,1205.04,1260.13,alert,emergency
159071,1205.04,1260.13,alert,emergency
159318,1205.04,1246.44,alert,emergency
159563,1205.04,1246.44,alert,emergency
159810,1191.13,1246.44,alert,emergency
160056,1205.04,1260.13,alert,emergency
160303,1218.89,1260.13,alert,emergency
160548,1205.04,1246.44,alert,emergency
160794,1191.13,1246.44,alert,emergency
161041,1218.89,1260.13,alert,emergency
161287,1218.89,1260.13,alert,emergency
161533,1205.04,1246.44,alert,emergency
161779,1205.04,1246.44,alert,emergency
162026,1205.04,1246.44,alert,emergency
162272,1205.04,1260.13,alert,emergency
162518,1218.89,1260.13,alert,emergency
162764,1205.04,1246.44,alert,emergency
163010,1191.13,1246.44,alert,emergency
163257,1205.04,1260.13,alert,emergency
163503,1218.89,1260.13,alert,emergency
163748,1205.04,1246.44,alert,emergency
163995,1191.13,1246.44,alert,emergency
164241,1205.04,1246.44,alert,emergency
164488,1205.04,1260.13,alert,emergency
